last_date,OGC_FID,GEOMETRY,licenses_id,scrape_date,licenseno,status,licensetype,issuedate,exprdate,owner,premisesaddress,segments_id,lon,lat,x,y,city,neighborhood,community,council,tract,business,mailaddress,gcquality,gctype
2013-07-09T,1,,,2013-07-09T,413,ACTIVE,51,1951-07-20T,2014-03-31T,MISSION BAY YACHT CLUB INC,"1215 EL CARMEL PL, SAN DIEGO, CA  92109",-1,-117.2483612,32.77784672,6254804.295,1864266.244,NONE,NONE,NONE,NONE,76,,,0,cns/address
2013-07-09T,2,,,2013-07-09T,1414,ACTIVE,41,1978-06-05T,2014-04-30T,"FICANO, CONNIE M","9349 MIRA MESA BLVD, SAN DIEGO, CA  92126",-1,-117.1234226,32.91675457,6293628.6,1914460.918,SndSAN,NONE,NONE,NONE,83.59,Capriccio Italian Restaurant,,0,cns/address
2013-07-09T,3,,,2013-07-09T,1419,ACTIVE,21,1964-08-18T,2013-09-30T,A O K ENTERPRISES INC,"3744 OCEAN VIEW BLVD, SAN DIEGO, CA  92113",-1,-117.113723,32.70152397,6295956.463,1836127.888,SndCHU,NONE,NONE,NONE,35.01,Ocean View Liquor,,0,cns/address
2013-07-09T,4,,,2013-07-09T,2498,ACTIVE,21,1978-01-01T,2013-08-31T,"ORAM, AMIR Z","3515 UNIVERSITY AVE, SAN DIEGO, CA  92104",-1,-117.1176119,32.74952407,6294905.465,1853601.895,SndOCN,NONE,NONE,NONE,24.01,Market Place The,,0,cns/address
2013-07-09T,5,,,2013-07-09T,3803,ACTIVE,48,1977-05-18T,2014-03-31T,SILVER FOX ASSOCIATES INC,"1833 GARNET AVE, SAN DIEGO, CA  92109",-1,-117.2362811,32.80050759,6258595.209,1872475.613,SndPOW,NONE,NONE,NONE,79.08,Silver Fox Associates Inc,,0,cns/address
2013-07-09T,6,,,2013-07-09T,4016,ACTIVE,21,1971-06-17T,2013-06-30T,MARCREST INC,"3787 INGRAHAM ST, SAN DIEGO, CA  92109",-1,-117.2371487,32.78855975,6258287.446,1868131.155,SndCAR,NONE,NONE,NONE,77.02,Crest,,0,cns/address
2013-07-09T,7,,,2013-07-09T,4261,ACTIVE,21,1979-08-20T,2014-01-31T,J C & S INC,"4210 MARKET ST, SAN DIEGO, CA  92102",-1,-117.1044564,32.71172865,6298837.558,1839817.217,SndESC,NONE,NONE,NONE,34.03,,,0,cns/address
2013-07-09T,8,,,2013-07-09T,5332,ACTIVE,21,1973-01-22T,2014-02-28T,"ATTIQ, LOUIS","110 NATIONAL CITY BLVD, NATIONAL CITY, CA  91950",-1,-117.0975617,32.65177156,6300780.967,1817985.404,SndSNM,NONE,NONE,NONE,219,One Ten Liquor & Market,,19,cns/seginterp
2013-07-09T,9,,,2013-07-09T,6278,ACTIVE,47,1977-07-01T,2013-08-31T,BRIGANTINE THE,"3263 CAMINO DEL MAR, DEL MAR, CA  92014",-1,-136.1787734,25.94548651,-1,-1,SndENC,NONE,NONE,NONE,172,,"7889 OSTROW ST SAN DIEGO, CA  92111-3602",-1,NONE
2013-07-09T,10,,,2013-07-09T,6555,ACTIVE,51,1967-07-01T,2014-05-31T,FLEET RESERVE ASSN BR 62,"3638 OCEAN VIEW BLVD, SAN DIEGO, CA  92113",-1,-117.1159663,32.70150345,6295266.308,1836126.145,SndVIS,NONE,NONE,NONE,35.01,Fra Club 62,,0,cns/address
2013-07-09T,11,,,2013-07-09T,6779,ACTIVE,51,1968-08-07T,2013-09-30T,MOOSE LODGE ESCONDIDO 1874,"25721 JESMOND DENE RD, ESCONDIDO, CA  92026",-1,-117.0961246,33.17004261,6302753.565,2006547.618,SndSNT,NONE,NONE,NONE,Tract:,Moose Lodge Escondido 1874,,0,cns/segmid
2013-07-09T,12,,,2013-07-09T,7375,ACTIVE,21,1964-12-15T,2014-05-31T,PALOMAR ENTERPRISE INCORPORATED,"302 W MISSION AVE, ESCONDIDO, CA  92025",-1,-117.0898358,33.12933402,6304558.58,1991720.597,SndELC,NONE,NONE,NONE,202.14,Holiday Wine Cellar,"PO BOX 462947 ESCONDIDO, CA  92046",0,cns/address
2013-07-09T,13,,,2013-07-09T,7808,ACTIVE,52,1967-09-11T,2013-08-31T,AMERICAN LEGION SAN DIEGUITO POST 416,"210 W F ST, ENCINITAS, CA  92024",-1,-117.2947468,33.04342808,6241515.637,1961032.15,SndCOR,NONE,NONE,NONE,175.01,American Legion Post 416,,10,cns/address
2013-07-09T,14,,,2013-07-09T,9231,ACTIVE,57,1965-11-24T,2014-01-31T,EAGLES LODGE SAN DIEGO AERIE 244,"3848 CENTRE ST, SAN DIEGO, CA  92103",-1,-117.1485534,32.74812811,6285387.849,1853174.575,SndNAT,NONE,NONE,NONE,7,Eagles Lodge San Diego Aerie 244,,0,cns/address
2013-07-09T,15,,,2013-07-09T,9378,ACTIVE,47,1952-09-12T,2013-08-31T,ELKS LODGE CLEMENTINE MCDUFF POST,"6 HENSLEY ST, SAN DIEGO, CA  92102",-1,-117.1348331,32.70552173,6289474.78,1837636.861,SndLAM,NONE,NONE,NONE,48,,"PO BOX 740118 SAN DIEGO, CA  92174",0,cns/address
2013-07-09T,16,,,2013-07-09T,9433,ACTIVE,47,1978-01-01T,2014-03-31T,ZOOLOGICAL SOCIETY OF SAN DIEGO,"15500 SAN PASQUAL VALLEY RD, SAN DIEGO, CA  92027",-1,-117.0028973,33.09918944,6331094.327,1980549.441,SndIMP,NONE,NONE,NONE,207.06,San Diego Zoo Safari Park,"PO BOX 120551 SAN DIEGO, CA  92112-0551",0,cns/address
2013-07-09T,17,,,2013-07-09T,9741,ACTIVE,51,1965-04-21T,2014-01-31T,SAN DIEGO MISSION BAY BOAT & SKI CL,"2606 N MISSION BAY DR, SAN DIEGO, CA  92109",-1,-117.2203332,32.79822565,6263487.909,1871599.394,SndLEM,NONE,NONE,NONE,76,San Diego Mission Bay Boat & Ski Club,,123,cns/seginterp
2013-07-09T,18,,,2013-07-09T,9839,ACTIVE,47,1979-01-05T,2013-09-30T,BENIHANA INTERNATIONAL INC,"477 CAMINO DEL RIO S, SAN DIEGO, CA  92108",-1,-136.1787734,25.94548651,-1,-1,SndSOL,NONE,NONE,NONE,93.04,,"8750 NW 36TH ST, STE 300 MIAMI, FL  33178",-1,NONE
2013-07-09T,19,,,2013-07-09T,10099,ACTIVE,21,1975-10-01T,2013-06-30T,THRIFTY PAYLESS INC,"8985 MIRA MESA BLVD, SAN DIEGO, CA  92126",-1,-117.1300625,32.91386547,6291582.098,1913426.901,SndDEL,NONE,NONE,NONE,83.58,Rite Aid Store 5661,"2600 CAPITOL AVE, STE 300 SACRAMENTO, CA  95816-5930",0,cns/address
2013-07-09T,20,,,2013-07-09T,10333,ACTIVE,52,1977-11-01T,2014-03-31T,VFW SILVER STRAND POST 5477,"123 PALM AVE, IMPERIAL BEACH, CA  91932",-1,-117.0463723,32.59361414,6316375.5,1796701.333,NONE,NONE,NONE,NONE,102,Veterans Of Foreign Wars,,7,cns/address
2013-07-09T,21,,,2013-07-09T,11470,ACTIVE,51,1951-06-15T,2013-10-31T,MOOSE LODGE 1325,"2017-19 S COAST HWY, OCEANSIDE, CA  92054",-1,-117.3889223,33.20269309,6213290.706,2019279.806,NONE,NONE,SanMIR,NONE,181,Loyal Order Of Moose 1325,"2017 S COAST HWY OCEANSIDE, CA  92054",0,cns/segmid
2013-07-09T,22,,,2013-07-09T,12392,ACTIVE,51,1966-10-11T,2014-02-28T,ELKS CLUB OCEANSIDE 1561,"444 COUNTRY CLUB LN, OCEANSIDE, CA  92054",-1,-117.3645723,33.19892268,6220723.97,2017827.513,NONE,NONE,SanSAN,NONE,185.09,Oceanside Elks Lodge 1561,,0,cns/address
2013-07-09T,23,,,2013-07-09T,12436,ACTIVE,47,1978-01-01T,2013-06-30T,"SIMI, ANGELO","7252 BROADWAY, LEMON GROVE, CA  91945",-1,-117.0415542,32.74286884,6318271.777,1850994.421,NONE,NONE,SanOTM,NONE,144,,,0,cns/address
2013-07-09T,24,,,2013-07-09T,12439,ACTIVE,41,1979-05-07T,2013-09-30T,M & E RESTAURANT CORP,"2622 EL CAMINO REAL, STE B, CARLSBAD, CA  92008",-1,-117.2303629,32.97766773,6261019.797,1936914.786,NONE,NONE,SanNAV,NONE,198.03,That Pizza Place,,0,cns/segmid
2013-07-09T,25,,,2013-07-09T,12614,ACTIVE,51,1977-03-01T,2014-04-30T,RANCHO BERNARDO GOLF CLUB,"12280 GREENS EAST RD, SAN DIEGO, CA  92128",-1,-117.0634174,33.03445858,6312376.856,1957137.033,NONE,NONE,SanUNV,NONE,170.15,Country Club Of Rancho Bernardo The,,0,cns/address
2013-07-09T,26,,,2013-07-09T,12646,ACTIVE,51,1963-06-14T,2013-06-30T,ELKS LODGE ENCINITAS 2243,"1393 WINDSOR RD, ENCINITAS, CA  92007",-1,-117.273133,33.03276837,6248100.694,1957088.131,NONE,NONE,SanCLA,NONE,174.04,Elks Lodge Encinitas 2243,,5,cns/address
2013-07-09T,27,,,2013-07-09T,13289,ACTIVE,47,1976-03-01T,2013-09-30T,ANTHONYS FISH GROTTO OF LA MESA,"1362 N HARBOR DR, SAN DIEGO, CA  92101",-1,-117.1733739,32.71957476,6277664.476,1842852.617,NONE,NONE,SanTIR,NONE,54,,"5575 LAKE PARK WAY, # 211 LA MESA, CA  91942",2,cns/address
2013-07-09T,28,,,2013-07-09T,13583,ACTIVE,21,1970-10-13T,2013-06-30T,VONS COMPANIES INC THE,"870 3RD AVE, CHULA VISTA, CA  91911",-1,-136.1787734,25.94548651,-1,-1,NONE,NONE,SanRAN,NONE,130,Vons 3063,"PO BOX 29096 PHOENIX, AZ  85038-9096",-1,NONE
2013-07-09T,29,,,2013-07-09T,14350,ACTIVE,48,1974-12-01T,2013-10-31T,"SILVIA, BARBARA C","684 TELEGRAPH CANYON RD, CHULA VISTA, CA  91910",-1,-117.0311581,32.62589762,6321149.54,1808411.849,NONE,NONE,SanRNC,NONE,133.09,Archway Lounge The,,0,cns/address
2013-07-09T,30,,,2013-07-09T,14813,ACTIVE,21,1970-10-19T,2013-06-30T,VONS COMPANIES INC THE,"2800 FLETCHER PKWY, EL CAJON, CA  92020",-1,-116.6330566,33.04678542,6444286.029,1960865.359,NONE,NONE,SanLAJ,NONE,161,Vons 2064,"PO BOX 29096 PHOENIX, AZ  85038-9096",0,cns/segmid
2013-07-09T,31,,,2013-07-09T,15041,ACTIVE,51,1964-01-30T,2014-01-31T,ELKS LODGE VISTA 1968,"1947 E VISTA WAY, VISTA, CA  92084",-1,-117.2250266,33.22968084,6263513.707,2028590.813,NONE,NONE,SanOAT,NONE,192.07,,,0,cns/address
2013-07-09T,32,,,2013-07-09T,15089,ACTIVE,21,1965-02-25T,2013-06-30T,THRIFTY PAYLESS INC,"400 N 2ND ST, EL CAJON, CA  92021",-1,-136.1787734,25.94548651,-1,-1,NONE,NONE,SanPEN,NONE,157.01,Rite Aid Store 5626,"2600 CAPITOL AVE, STE 300 SACRAMENTO, CA  95816-5930",-1,NONE
2013-07-09T,33,,,2013-07-09T,15367,ACTIVE,48,1952-10-10T,2013-07-31T,UNITED PORTUGUESE S E S INC,"2818 AVENIDA DE PORTUGAL, SAN DIEGO, CA  92106",-1,-136.1787734,25.94548651,-1,-1,NONE,NONE,SanBLA,NONE,214,,,-1,NONE
2013-07-09T,34,,,2013-07-09T,16286,ACTIVE,48,1972-07-10T,2014-06-30T,AMERICAN LEGION LINDA VISTA POST 731,"7245 LINDA VISTA RD, SAN DIEGO, CA  92111",-1,-117.1654964,32.79100877,6280315.511,1868821.266,NONE,NONE,SanSKY,NONE,88,Padre Gold Inc,,0,cns/address
2013-07-09T,35,,,2013-07-09T,16939,ACTIVE,51,1966-11-18T,2013-09-30T,ELKS LODGE CHULA VISTA 2011,"901 ELKS LN, CHULA VISTA, CA  91910",-1,-117.0344583,32.62636519,6320134.72,1808589.599,NONE,NONE,SanCAR,NONE,133.09,,,0,cns/address
2013-07-09T,36,,,2013-07-09T,16996,SUREND,41,1978-11-06T,2013-06-30T,"GARCIA, BERTHA","2752 E 18TH ST, NATIONAL CITY, CA  91950-5302",-1,-117.0754002,32.67508514,6307669.455,1826413,NONE,NONE,SanKER,NONE,121.02,Carnitas La Hacienda Restaurant,"38 H ST CHULA VISTA, CA  91910-4920",321,cns/seginterp
2013-07-09T,37,,,2013-07-09T,17446,ACTIVE,20,1977-06-01T,2013-06-30T,PNS STORES INC,"1210 BROADWAY, CHULA VISTA, CA  91911",-1,-117.0810352,32.60591783,6305734.854,1801261.192,NONE,NONE,SanMIS,NONE,131.03,Big Lots 4027,"300 PHILLIPI RD, ATTN TAX DEPT COLUMBUS, OH  43228-5311",0,cns/address
2013-07-09T,38,,,2013-07-09T,17463,ACTIVE,20,1977-06-01T,2013-06-30T,PNS STORES INC,"3705 ROSECRANS ST, SAN DIEGO, CA  92110",-1,-117.2035012,32.75141679,6268504.411,1854521.149,NONE,NONE,SanSCI,NONE,65,Big Lots 4038,"300 PHILLIPI RD, ATTN TAX DEPT COLUMBUS, OH  43228-5311",0,cns/address
