activityType,AGENCY,activityDate,LEGEND,Charge_Description,BLOCK_ADDRESS,City_Name,ZipCode
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 0:01,FRAUD,FRAUD,9600  BLOCK SUNSET AVENUE,,91941
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 0:01,THEFT/LARCENY,PETTY THEFT,4600  BLOCK DEHESA ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 0:01,FRAUD,FRAUD,1600  BLOCK MIRAGE COURT,,92019
ARREST,"San Diego County Sheriff, CA",1/1/2008 3:20,DRUGS/ALCOHOL VIOLATIONS,POSSESS CONTROLLED SUBSTANCE,1200  BLOCK VICTOR AVENUE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 6:00,FRAUD,FRAUD,11900  BLOCK CAMPO ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,ASSAULT,LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F),300 E  BLOCK BRADLEY AVENUE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,FRAUD,FRAUD,2100  BLOCK BAUTISTA AVENUE,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,FRAUD,FRAUD,2200  BLOCK LA CRESTA ROAD,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,THEFT/LARCENY,PETTY THEFT,13600  BLOCK PASEO DEL MAR,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,FRAUD,FRAUD,17700  BLOCK SAN PASQUAL VALLEY ROAD,,92025
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,FRAUD,FRAUD,700  BLOCK SUNRISE EAST DRIVE,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 12:00,THEFT/LARCENY,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,3500  BLOCK EMMA LANE,,92084
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 16:08,THEFT/LARCENY,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,5400  BLOCK CASINO WAY,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 17:00,THEFT/LARCENY,GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400,1000  BLOCK GREENFIELD DRIVE,,92021
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 18:10,ASSAULT,THREATEN CRIME WITH INTENT TO TERRORIZE,3300  BLOCK LAKE VIEW TERRACE,,92029
CITATION,"San Diego County Sheriff, CA",1/1/2008 21:25,DRUGS/ALCOHOL VIOLATIONS,POSSESS MARIJUANA 28.5 GRAMS OR LESS OR W/NO PRIOR,1500  BLOCK HILTON HEAD ROAD,,92019
CRIME CASE,"San Diego County Sheriff, CA",1/1/2008 21:30,ASSAULT,BATTERY ON PERSON,1700  BLOCK SUNBURST DRIVE,,92021
